prop_name,monthly_rent,location,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
Berlian Residence @ Setapak,1500.0,Kuala Lumpur - Setapak,3.0,1.0,2.0,900,Not Furnished,"Parking, Security, Lift, Swimming Pool, Multipurpose hall",None,Kuala Lumpur
28 Dutamas,2500.0,Kuala Lumpur - Solaris Dutamas,4.0,2.0,3.0,1500,Partially Furnished,"Playground, Swimming Pool, Jogging Track, Multipurpose hall, Security, Gymnasium","Air-Cond, Cooking Allowed",Kuala Lumpur
28 Dutamas,2900.0,Kuala Lumpur - Solaris Dutamas,4.0,2.0,3.0,1719,Fully Furnished,"Playground, Swimming Pool, Jogging Track, Multipurpose hall, Security, Gymnasium","Air-Cond, Cooking Allowed",Kuala Lumpur
Residensi Vista Wirajaya,1800.0,Kuala Lumpur - Setapak,3.0,1.0,2.0,885,Fully Furnished,None,None,Kuala Lumpur
Bayu Sentul Condominium,1900.0,Kuala Lumpur - Sentul,3.0,2.0,2.0,1300,Partially Furnished,None,None,Kuala Lumpur
Flexus Signature Suites,1500.0,Kuala Lumpur - Jalan Kuching,1.0,1.0,1.0,530,Fully Furnished,"Parking, Security, Sauna, Multipurpose hall, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Menjalara 18,2400.0,Kuala Lumpur - Bandar Menjalara,3.0,1.0,2.0,1316,Fully Furnished,"Barbeque area, Swimming Pool, Gymnasium, Club house, Minimart, Squash Court, Parking, Sauna","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
G Residence @ Desa Pandan,4500.0,Kuala Lumpur - Desa Pandan,3.0,2.0,2.0,1539,Fully Furnished,"Multipurpose hall, Security, Gymnasium, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Greenpark,1400.0,Kuala Lumpur - Old Klang Road,3.0,1.0,2.0,1270,Partially Furnished,"Parking, Security, Tennis Court, Swimming Pool, Playground, Lift, Jogging Track, Minimart, Gymnasium, Barbeque area","Air-Cond, Cooking Allowed, Internet",Kuala Lumpur
Majestic Maxim,1800.0,Kuala Lumpur - Cheras,3.0,1.0,2.0,819,Partially Furnished,"Security, Swimming Pool, Lift, Gymnasium, Barbeque area, Jogging Track, Parking, Playground, Minimart, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur
Baiduri Apartment (Desa Pandan),1500.0,Kuala Lumpur - Desa Pandan,3.0,1.0,2.0,950,Partially Furnished,"Security, Parking",None,Kuala Lumpur
Bennington Residences @ SkyArena,3000.0,Kuala Lumpur - Setapak,3.0,2.0,2.0,1200,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court","Air-Cond, Cooking Allowed, Washing Machine, Internet",Kuala Lumpur
Sri Putramas,1600.0,Kuala Lumpur - Jalan Kuching,3.0,1.0,2.0,1100,Fully Furnished,"Minimart, Swimming Pool, Sauna, Playground, Gymnasium, Security, Tennis Court, Barbeque area, Parking","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
3 Towers,2500.0,Kuala Lumpur - Ampang Hilir,2.0,1.0,1.0,890,Fully Furnished,"Security, Gymnasium, Multipurpose hall, Parking, Barbeque area, Swimming Pool",None,Kuala Lumpur
One Maxim,1300.0,Kuala Lumpur - Sentul,2.0,1.0,2.0,650,Partially Furnished,"Jogging Track, Playground, Parking, Swimming Pool, Gymnasium, Sauna, Multipurpose hall, Security, Barbeque area",None,Kuala Lumpur
Casa Mutiara,2000.0,Kuala Lumpur - Bukit Bintang,2.0,1.0,2.0,742,Fully Furnished,"Gymnasium, Sauna, Parking, Playground, Security, Swimming Pool, Barbeque area",None,Kuala Lumpur
Sofiya Residences,2000.0,Kuala Lumpur - Desa ParkCity,3.0,1.0,2.0,862,Fully Furnished,"Security, Playground","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
