prop_name,monthly_rent,location,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
Seasons Garden Residences @ Wangsa Maju,1599.0,Kuala Lumpur - Wangsa Maju,3.0,1.0,2.0,770,Partially Furnished,"Security, Playground, Swimming Pool, Gymnasium, Parking, Minimart","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur
Anjung Hijau,1950.0,Kuala Lumpur - Bukit Jalil,3.0,1.0,2.0,1100,Fully Furnished,"Playground, Security, Parking, Minimart, Jogging Track, Barbeque area, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
G Residence @ Desa Pandan,2700.0,Kuala Lumpur - Desa Pandan,2.0,2.0,2.0,1044,Fully Furnished,"Security, Multipurpose hall, Swimming Pool, Gymnasium, Parking, Lift, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Bayu Tasik 2,1500.0,Kuala Lumpur - Cheras,3.0,1.0,2.0,960,Fully Furnished,"Security, Playground, Gymnasium, Parking, Swimming Pool, Lift",None,Kuala Lumpur
Platinum Splendor Residensi Semarak,1800.0,Kuala Lumpur - Keramat,3.0,2.0,2.0,926,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Residency V,2200.0,Kuala Lumpur - Old Klang Road,3.0,2.0,2.0,950,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Setia SKY Residences,4500.0,Kuala Lumpur - KLCC,4.0,2.0,3.0,1200,Fully Furnished,"Security, Minimart, Club house, Parking, Swimming Pool, Gymnasium, Barbeque area, Playground, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Platinum Splendor Residensi Semarak,2000.0,Kuala Lumpur - Keramat,4.0,2.0,2.0,1184,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
G Residence @ Desa Pandan,2700.0,Kuala Lumpur - Desa Pandan,2.0,2.0,2.0,1044,Fully Furnished,"Security, Multipurpose hall, Swimming Pool, Gymnasium, Parking, Lift, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Platinum Splendor Residensi Semarak,1800.0,Kuala Lumpur - Keramat,4.0,2.0,2.0,1184,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Putra Majestik,1600.0,Kuala Lumpur - Jalan Ipoh,3.0,2.0,2.0,1030,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Jogging Track, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Majestic Maxim,1500.0,Kuala Lumpur - Cheras,2.0,1.0,2.0,650,Partially Furnished,"Jogging Track, Swimming Pool, Gymnasium, Barbeque area, Lift, Parking, Security, Playground","Air-Cond, Cooking Allowed",Kuala Lumpur
M Vertica,2800.0,Kuala Lumpur - Cheras,4.0,2.0,2.0,1000,Fully Furnished,"Tennis Court, Parking, Playground, Swimming Pool, Multipurpose hall, Security, Lift, Jogging Track, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Solaris Parq,4500.0,Kuala Lumpur - Solaris Dutamas,2.0,2.0,2.0,1080,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Cerrado,1600.0,Kuala Lumpur - Sungai Besi,3.0,2.0,2.0,825,Partially Furnished,"Security, Playground, Parking",None,Kuala Lumpur
"The Veo, Kuala Lumpur",4300.0,Kuala Lumpur - Setapak,3.0,2.0,2.0,1442,Fully Furnished,"Parking, Playground, Minimart, Security, Lift, Club house, Gymnasium, Multipurpose hall, Barbeque area, Swimming Pool","Air-Cond, Washing Machine",Kuala Lumpur
Queensville,1500.0,Kuala Lumpur - Cheras,1.0,2.0,1.0,526,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Wangsa 9 Residency,4500.0,Kuala Lumpur - Wangsa Maju,3.0,2.0,3.0,1690,Fully Furnished,"Minimart, Gymnasium, Jogging Track, Tennis Court, Squash Court, Security, Swimming Pool, Sauna, Parking, Playground, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Casa Idaman,1400.0,Kuala Lumpur - Jalan Ipoh,3.0,1.0,2.0,1047,Partially Furnished,None,None,Kuala Lumpur
28 Boulevard,1600.0,Kuala Lumpur - Pandan Perdana,1.0,1.0,1.0,450,Fully Furnished,"Swimming Pool, Squash Court, Jogging Track, Playground, Lift, Parking, Security, Minimart, Gymnasium, Tennis Court",None,Kuala Lumpur
Bayu Sentul Condominium,1800.0,Kuala Lumpur - Sentul,3.0,2.0,2.0,1300,Partially Furnished,None,None,Kuala Lumpur
Emerald Hills,2000.0,Kuala Lumpur - Cheras,2.0,2.0,2.0,893,Partially Furnished,"Jogging Track, Barbeque area, Sauna, Security, Club house, Playground, Swimming Pool, Parking",None,Kuala Lumpur
Lavile,2600.0,Kuala Lumpur - Cheras,2.0,1.0,2.0,850,Fully Furnished,"Gymnasium, Multipurpose hall, Security, Swimming Pool, Barbeque area",None,Kuala Lumpur
Delima J Apartment,1400.0,Kuala Lumpur - Desa Pandan,3.0,1.0,2.0,900,Partially Furnished,None,None,Kuala Lumpur
Bayu Tasik 1,1300.0,Kuala Lumpur - Cheras,3.0,1.0,2.0,920,Partially Furnished,"Security, Minimart, Playground, Gymnasium, Parking, Swimming Pool, Barbeque area",None,Kuala Lumpur
The Sky Residence @ Shamelin,1700.0,Kuala Lumpur - Cheras,2.0,1.0,2.0,668,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Sauna, Gymnasium","Air-Cond, Cooking Allowed",Kuala Lumpur
Pantai Hillpark 5,1800.0,Kuala Lumpur - Bangsar South,3.0,1.0,2.0,1100,Fully Furnished,"Minimart, Playground, Swimming Pool, Security, Parking, Gymnasium, Squash Court",None,Kuala Lumpur
PV9 Residences @ Taman Melati,2000.0,Kuala Lumpur - Setapak,4.0,2.0,2.0,1100,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Tiffani Kiara,2600.0,Kuala Lumpur - Mont Kiara,1.0,1.0,1.0,815,Fully Furnished,"Swimming Pool, Gymnasium, Barbeque area, Sauna, Tennis Court, Squash Court, Parking, Security, Club house, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
ViiA Residences @ KL Eco City,3400.0,Kuala Lumpur - KL Eco City,1.0,1.0,1.0,632,Fully Furnished,"Barbeque area, Security, Swimming Pool, Playground, Sauna, Parking, Gymnasium",None,Kuala Lumpur
Mentari Condominium,1700.0,Kuala Lumpur - Cheras,3.0,1.0,2.0,1025,Partially Furnished,"Parking, Swimming Pool, Playground, Gymnasium, Security","Air-Cond, Cooking Allowed",Kuala Lumpur
Parc 3,2200.0,Kuala Lumpur - Cheras,2.0,1.0,2.0,737,Fully Furnished,"Playground, Lift, Barbeque area, Jogging Track, Multipurpose hall, Parking, Gymnasium, Security","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Legasi Kampong Bharu,3500.0,Kuala Lumpur - KL City,3.0,1.0,2.0,950,Fully Furnished,"Parking, Security, Tennis Court, Squash Court, Jogging Track, Lift, Minimart, Playground, Swimming Pool, Gymnasium, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
"Fera Residence @ The Quartz, Wangsa Maju",2200.0,Kuala Lumpur - Wangsa Maju,3.0,2.0,2.0,1300,Partially Furnished,"Parking, Swimming Pool, Security, Lift, Playground, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Cengal Condominium,1550.0,Kuala Lumpur - Cheras,3.0,1.0,2.0,850,Fully Furnished,"Playground, Security, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Sky Awani Residensi,1300.0,Kuala Lumpur - Sentul,3.0,1.0,2.0,800,Partially Furnished,"Parking, Playground, Swimming Pool, Jogging Track, Club house, Security, Minimart, Barbeque area, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Pangsapuri Desa Tenaga,1000.0,Kuala Lumpur - Old Klang Road,3.0,1.0,2.0,800,Partially Furnished,"Parking, Security, Lift, Playground",None,Kuala Lumpur
The Haute,1800.0,Kuala Lumpur - Keramat,3.0,2.0,2.0,1005,Fully Furnished,"Swimming Pool, Multipurpose hall, Gymnasium, Parking, Security","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur
Damai Hillpark,1700.0,Kuala Lumpur - Bandar Damai Perdana,3.0,2.0,2.0,1100,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Lakeville Residence,2000.0,Kuala Lumpur - Jalan Ipoh,3.0,2.0,2.0,1330,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Danau Permai,2500.0,Kuala Lumpur - Taman Desa,2.0,1.0,2.0,1004,Fully Furnished,"Minimart, Swimming Pool, Squash Court, Parking, Security, Playground, Barbeque area, Sauna, Tennis Court, Gymnasium","Air-Cond, Cooking Allowed",Kuala Lumpur
Casa Desa Condominium,2000.0,Kuala Lumpur - Taman Desa,3.0,1.0,2.0,1100,Fully Furnished,"Minimart, Gymnasium, Sauna, Parking, Security, Playground, Swimming Pool, Jogging Track, Squash Court","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Irama Wangsa,3000.0,Kuala Lumpur - Wangsa Maju,3.0,2.0,2.0,1335,Fully Furnished,"Parking, Security, Barbeque area, Multipurpose hall, Playground, Club house, Swimming Pool, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Mentari Condominium,1700.0,Kuala Lumpur - Cheras,3.0,1.0,2.0,1025,Fully Furnished,"Swimming Pool, Gymnasium, Parking, Security, Playground, Lift, Barbeque area, Minimart, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Sunway Velocity,3000.0,Kuala Lumpur - Cheras,3.0,1.0,2.0,1068,Fully Furnished,"Lift, Parking, Security, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Lexa Residence @ The Quartz WM,1650.0,Kuala Lumpur - Wangsa Maju,3.0,1.0,2.0,850,Partially Furnished,"Parking, Security, Lift, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Lido Residency,1600.0,Kuala Lumpur - Cheras,2.0,1.0,2.0,962,Partially Furnished,"Gymnasium, Barbeque area, Parking, Playground, Swimming Pool, Multipurpose hall, Security, Jogging Track, Lift","Air-Cond, Cooking Allowed",Kuala Lumpur
Perdana Villa (Pandan Perdana),1100.0,Kuala Lumpur - Cheras,2.0,1.0,2.0,800,Not Furnished,"Parking, Security",Cooking Allowed,Kuala Lumpur
Danau Permai,2100.0,Kuala Lumpur - Taman Desa,2.0,1.0,2.0,685,Fully Furnished,"Parking, Squash Court, Playground, Swimming Pool, Gymnasium, Barbeque area, Sauna, Security, Minimart, Tennis Court","Air-Cond, Cooking Allowed, Washing Machine, Internet",Kuala Lumpur
Residensi Vista Wirajaya,1500.0,Kuala Lumpur - Setapak,3.0,1.0,2.0,884,Not Furnished,"Swimming Pool, Playground, Parking",None,Kuala Lumpur
Majestic Maxim,1200.0,Kuala Lumpur - Cheras,2.0,1.0,2.0,650,Partially Furnished,"Playground, Swimming Pool, Gymnasium, Security, Parking, Lift, Barbeque area, Jogging Track","Near KTM/LRT, Cooking Allowed, Air-Cond",Kuala Lumpur
Invito Suites (Capri),2000.0,Kuala Lumpur - Bangsar South,1.0,1.0,1.0,638,Fully Furnished,None,None,Kuala Lumpur
Inwood Residences @ Pantai Sentral Park,3200.0,Kuala Lumpur - Pantai,3.0,2.0,2.0,1235,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Danau Idaman,1700.0,Kuala Lumpur - Taman Desa,3.0,1.0,2.0,938,Fully Furnished,"Minimart, Tennis Court, Sauna, Parking, Security, Playground, Swimming Pool, Gymnasium, Squash Court","Cooking Allowed, Air-Cond, Washing Machine",Kuala Lumpur
Brem Park 1,1500.0,Kuala Lumpur - Old Klang Road,3.0,1.0,2.0,1600,Partially Furnished,"Parking, Club house, Minimart, Squash Court, Security, Playground, Swimming Pool, Jogging Track, Barbeque area",None,Kuala Lumpur
Menara Avenue,2800.0,Kuala Lumpur - KLCC,2.0,1.0,2.0,1520,Fully Furnished,"Barbeque area, Security, Parking, Swimming Pool, Sauna, Gymnasium","Air-Cond, Near KTM/LRT, Washing Machine",Kuala Lumpur
The Scott Garden,1300.0,Kuala Lumpur - Old Klang Road,1.0,1.0,2.0,775,Not Furnished,"Lift, Swimming Pool, Playground, Security, Parking, Club house, Gymnasium, Sauna, Jogging Track, Barbeque area, Minimart, Multipurpose hall, Squash Court, Tennis Court",Air-Cond,Kuala Lumpur
Suasana Lumayan,1750.0,Kuala Lumpur - Cheras,4.0,1.0,2.0,1142,Fully Furnished,"Minimart, Gymnasium, Security, Playground, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Ascenda Residences @ SkyArena Setapak,2650.0,Kuala Lumpur - Setapak,3.0,2.0,2.0,908,Fully Furnished,"Parking, Swimming Pool, Barbeque area, Security, Jogging Track, Multipurpose hall, Gymnasium, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Danau Idaman,1400.0,Kuala Lumpur - Taman Desa,3.0,1.0,2.0,930,Partially Furnished,"Playground, Tennis Court, Parking, Minimart, Gymnasium, Security, Squash Court, Swimming Pool, Sauna",None,Kuala Lumpur
Legend Height,1800.0,Kuala Lumpur - Segambut,3.0,2.0,2.0,1050,Partially Furnished,"Security, Playground, Parking, Gymnasium, Multipurpose hall, Lift, Swimming Pool","Air-Cond, Cooking Allowed",Kuala Lumpur
Desa Angkasa,3200.0,Kuala Lumpur - Ampang Hilir,2.0,1.0,2.0,1227,Fully Furnished,"Tennis Court, Swimming Pool, Gymnasium, Sauna, Security, Minimart, Club house, Playground, Squash Court, Jogging Track, Parking",None,Kuala Lumpur
Gembira Residen (G Residence),2950.0,Kuala Lumpur - Kuchai Lama,3.0,2.0,2.0,1200,Fully Furnished,"Minimart, Playground, Squash Court, Lift, Security, Jogging Track, Parking, Gymnasium, Tennis Court, Sauna, Multipurpose hall, Club house, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Mentari Condominium,1700.0,Kuala Lumpur - Cheras,3.0,1.0,2.0,1025,Partially Furnished,"Parking, Swimming Pool, Security, Playground, Gymnasium, Lift","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur
Suria Stonor,7000.0,Kuala Lumpur - KLCC,4.0,2.0,4.0,3283,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Abadi Indah,1200.0,Kuala Lumpur - Taman Desa,3.0,1.0,2.0,830,Partially Furnished,"Squash Court, Swimming Pool, Gymnasium, Parking, Security, Minimart, Playground, Tennis Court",None,Kuala Lumpur
G Residence @ Desa Pandan,2300.0,Kuala Lumpur - Desa Pandan,2.0,2.0,2.0,1087,Fully Furnished,"Security, Multipurpose hall, Swimming Pool, Gymnasium, Parking, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Pinggiran Kiara,2499.0,Kuala Lumpur - Taman Tun Dr Ismail,2.0,1.0,2.0,1200,Fully Furnished,"Swimming Pool, Lift, Security, Parking, Gymnasium","Air-Cond, Washing Machine",Kuala Lumpur
i-Zen @ Kiara 1,3100.0,Kuala Lumpur - Mont Kiara,4.0,2.0,3.0,1362,Fully Furnished,"Playground, Barbeque area, Sauna, Parking, Security, Gymnasium, Squash Court, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
SkyLuxe On The Park,2300.0,Kuala Lumpur - Bukit Jalil,3.0,2.0,2.0,1060,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Sauna, Barbeque area, Gymnasium, Multipurpose hall, Club house, Jogging Track, Squash Court, Tennis Court, Minimart","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT, Internet",Kuala Lumpur
Anyaman Residence,1700.0,Kuala Lumpur - Kuchai Lama,3.0,1.0,2.0,935,Fully Furnished,"Security, Barbeque area, Swimming Pool, Gymnasium, Jogging Track, Playground, Multipurpose hall, Parking, Lift, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
i-Zen @ Kiara 1,3100.0,Kuala Lumpur - Mont Kiara,4.0,2.0,3.0,1362,Fully Furnished,"Playground, Barbeque area, Sauna, Parking, Security, Gymnasium, Squash Court, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
i-Zen @ Kiara 1,3300.0,Kuala Lumpur - Mont Kiara,4.0,2.0,3.0,1362,Fully Furnished,"Playground, Barbeque area, Sauna, Parking, Security, Gymnasium, Squash Court, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
The Hermington,2800.0,Kuala Lumpur - Kuchai Lama,4.0,2.0,2.0,1075,Fully Furnished,"Swimming Pool, Jogging Track, Sauna, Multipurpose hall, Security, Playground, Gymnasium, Parking, Lift, Barbeque area, Minimart, Club house, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Casa Idaman,1398.0,Kuala Lumpur - Jalan Ipoh,3.0,1.0,2.0,1004,Partially Furnished,"Parking, Security, Swimming Pool, Playground, Minimart, Lift","Cooking Allowed, Near KTM/LRT, Air-Cond, Washing Machine",Kuala Lumpur
Bayu Sentul Condominium,1798.0,Kuala Lumpur - Sentul,3.0,2.0,2.0,1300,Partially Furnished,"Lift, Security, Parking, Playground, Swimming Pool, Minimart, Gymnasium","Cooking Allowed, Near KTM/LRT, Air-Cond",Kuala Lumpur
Laman Midah,1100.0,Kuala Lumpur - Cheras,3.0,2.0,2.0,850,Partially Furnished,"Parking, Security, Lift, Playground, Swimming Pool, Minimart, Club house, Multipurpose hall, Jogging Track","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Majestic Maxim,1400.0,Kuala Lumpur - Cheras,2.0,1.0,2.0,700,Partially Furnished,"Gymnasium, Barbeque area, Parking, Jogging Track, Security, Playground, Swimming Pool, Lift","Air-Cond, Near KTM/LRT, Cooking Allowed, Washing Machine",Kuala Lumpur
Bayu Andaman,1400.0,Kuala Lumpur - Sentul,3.0,1.0,2.0,1000,Not Furnished,"Lift, Squash Court, Security, Minimart, Parking, Playground, Swimming Pool, Gymnasium, Multipurpose hall",Cooking Allowed,Kuala Lumpur
Saville,1650.0,Kuala Lumpur - Taman Melawati,3.0,1.0,2.0,980,Partially Furnished,"Gymnasium, Parking, Security, Swimming Pool, Multipurpose hall",None,Kuala Lumpur
Perumahan Penjawat Awam 1 Malaysia (PPA1M) Bukit Jalil,1400.0,Kuala Lumpur - Bukit Jalil,3.0,1.0,2.0,1200,Partially Furnished,"Parking, Minimart, Swimming Pool, Security, Jogging Track","Air-Cond, Near KTM/LRT",Kuala Lumpur
PPA1M Bukit Jalil,1400.0,Kuala Lumpur - Bukit Jalil,3.0,1.0,2.0,1200,Partially Furnished,"Parking, Security, Minimart, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Unio Residence,2700.0,Kuala Lumpur - Kepong,2.0,2.0,2.0,866,Fully Furnished,"Gymnasium, Jogging Track, Lift, Multipurpose hall, Parking, Playground, Swimming Pool, Security, Minimart, Tennis Court, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Villa Crystal,1800.0,Kuala Lumpur - Segambut,3.0,2.0,2.0,1391,Partially Furnished,"Sauna, Playground, Gymnasium, Jogging Track, Parking, Security, Swimming Pool","Air-Cond, Cooking Allowed",Kuala Lumpur
Residensi Suria Pantai,2000.0,Kuala Lumpur - Pantai,3.0,1.0,2.0,810,Fully Furnished,"Security, Playground, Swimming Pool, Parking, Minimart, Multipurpose hall, Lift","Air-Cond, Cooking Allowed, Washing Machine, Internet",Kuala Lumpur
The Havre @ Bukit Jalil,1850.0,Kuala Lumpur - Bukit Jalil,3.0,2.0,2.0,1023,Partially Furnished,"Parking, Minimart, Lift, Playground, Swimming Pool, Club house, Security, Barbeque area, Multipurpose hall, Gymnasium, Tennis Court, Squash Court, Jogging Track, Sauna","Cooking Allowed, Near KTM/LRT, Air-Cond, Internet",Kuala Lumpur
The Orion,2600.0,Kuala Lumpur - City Centre,3.0,3.0,3.0,1323,Fully Furnished,"Jogging Track, Squash Court, Parking, Playground, Swimming Pool, Gymnasium, Barbeque area",None,Kuala Lumpur
10 Semantan,1600.0,Kuala Lumpur - Damansara Heights,1.0,1.0,1.0,520,Fully Furnished,"Security, Barbeque area, Minimart, Sauna, Swimming Pool, Parking, Gymnasium, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Platinum Splendor Residensi Semarak,2000.0,Kuala Lumpur - Keramat,3.0,1.0,2.0,1184,Partially Furnished,"Sauna, Parking, Gymnasium, Playground, Security, Minimart, Swimming Pool, Lift, Barbeque area","Air-Cond, Cooking Allowed",Kuala Lumpur
Sri Angsana Hilir,1300.0,Kuala Lumpur - Ampang,3.0,1.0,2.0,1100,Not Furnished,None,None,Kuala Lumpur
Bayu Tasik 1,1400.0,Kuala Lumpur - Cheras,3.0,1.0,2.0,928,Fully Furnished,"Playground, Gymnasium, Swimming Pool, Barbeque area, Security, Minimart, Parking",None,Kuala Lumpur
Casa Green (Bukit Jalil),1700.0,Kuala Lumpur - Bukit Jalil,3.0,2.0,3.0,1003,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Barbeque area","Cooking Allowed, Near KTM/LRT, Air-Cond",Kuala Lumpur
M Vertica,2300.0,Kuala Lumpur - Cheras,3.0,2.0,2.0,900,Partially Furnished,"Parking, Jogging Track, Barbeque area, Security, Swimming Pool, Lift, Multipurpose hall, Playground, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Angkupuri,2400.0,Kuala Lumpur - Mont Kiara,3.0,1.0,2.0,1300,Fully Furnished,"Tennis Court, Barbeque area, Parking, Playground, Swimming Pool, Gymnasium, Squash Court, Sauna, Security, Minimart, Jogging Track, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine, Internet",Kuala Lumpur
Sentul Point Suite Apartment,1500.0,Kuala Lumpur - Sentul,3.0,1.0,2.0,850,Partially Furnished,"Parking, Gymnasium, Security, Swimming Pool, Playground, Squash Court, Minimart","Air-Cond, Washing Machine, Cooking Allowed",Kuala Lumpur
Putra Suria Residence,1200.0,Kuala Lumpur - Cheras,3.0,1.0,2.0,750,Not Furnished,"Gymnasium, Security, Minimart, Jogging Track, Parking, Lift, Playground, Multipurpose hall, Tennis Court","Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur
Queensville,1700.0,Kuala Lumpur - Cheras,1.0,2.0,1.0,726,Fully Furnished,None,None,Kuala Lumpur
Far East Residence,2200.0,Kuala Lumpur - Kuchai Lama,3.0,2.0,2.0,864,Partially Furnished,"Playground, Sauna, Barbeque area, Multipurpose hall, Minimart, Security, Gymnasium, Lift, Swimming Pool, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
M Vertica,1750.0,Kuala Lumpur - Cheras,3.0,2.0,2.0,850,Not Furnished,"Tennis Court, Lift, Playground, Barbeque area, Security, Parking, Jogging Track, Multipurpose hall, Swimming Pool","Air-Cond, Cooking Allowed",Kuala Lumpur
Mont Kiara Pines,2650.0,Kuala Lumpur - Mont Kiara,3.0,1.0,2.0,1300,Fully Furnished,None,None,Kuala Lumpur
Corinthian Condominium,3300.0,Kuala Lumpur - KLCC,3.0,1.0,2.0,1500,Fully Furnished,"Playground, Parking, Minimart, Swimming Pool, Gymnasium, Jogging Track, Security, Lift, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Bayu Sentul Condominium,1700.0,Kuala Lumpur - Sentul,4.0,2.0,3.0,1630,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Gymnasium",Cooking Allowed,Kuala Lumpur
Residensi KepongMas,1000.0,Kuala Lumpur - Kepong,3.0,1.0,2.0,800,Not Furnished,"Parking, Playground, Lift, Security","Air-Cond, Cooking Allowed",Kuala Lumpur
The Scott Soho,1300.0,Kuala Lumpur - Old Klang Road,1.0,1.0,2.0,775,Not Furnished,"Parking, Jogging Track, Security, Swimming Pool, Gymnasium, Barbeque area",Air-Cond,Kuala Lumpur
Platinum Lake PV 21,1200.0,Kuala Lumpur - Setapak,3.0,1.0,2.0,900,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart",None,Kuala Lumpur
Damai Hillpark,1800.0,Kuala Lumpur - Bandar Damai Perdana,3.0,2.0,2.0,1020,Partially Furnished,Parking,"Air-Cond, Cooking Allowed",Kuala Lumpur
3 Residen,2600.0,Kuala Lumpur - Taman Melawati,2.0,2.0,2.0,1206,Fully Furnished,"Minimart, Barbeque area, Security, Swimming Pool, Sauna, Playground, Gymnasium, Parking, Lift, Multipurpose hall, Jogging Track",None,Kuala Lumpur
Serini Melawati,3000.0,Kuala Lumpur - Taman Melawati,3.0,1.0,2.0,1367,Fully Furnished,"Swimming Pool, Parking, Playground, Minimart, Gymnasium, Security, Lift, Barbeque area, Multipurpose hall, Jogging Track, Sauna, Club house","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
M Suites,1600.0,Kuala Lumpur - Ampang Hilir,1.0,1.0,1.0,502,Fully Furnished,"Sauna, Swimming Pool, Barbeque area, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
